timestamp,threat_type,source_ip,source_mac,details
2025-10-29 07:56:49.422195,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, '34.107.243.93']"
2025-10-29 07:56:52.926656,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, '34.107.243.93']"
2025-10-29 07:56:58.342392,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, '34.107.243.93']"
2025-10-29 07:57:03.408738,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, '34.107.243.93']"
2025-10-29 07:57:06.865143,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'mozilla.map.fastly.net.']"
2025-10-29 07:57:24.045962,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'mozilla.map.fastly.net.']"
2025-10-29 07:57:32.452172,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'mozilla.map.fastly.net.']"
2025-10-29 07:57:37.881313,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'mozilla.map.fastly.net.']"
2025-10-29 07:57:40.037953,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'mozilla.map.fastly.net.']"
2025-10-29 07:57:43.079598,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'mozilla.map.fastly.net.']"
2025-10-29 07:57:53.305154,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'mozilla.map.fastly.net.']"
2025-10-29 07:58:06.219791,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'mozilla.map.fastly.net.']"
2025-10-29 07:58:08.220026,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'mobile.events.data.trafficmanager.net.']"
2025-10-29 07:58:13.143789,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'vscode-cdn.z01.azurefd.net.']"
2025-10-29 07:58:16.548242,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'vscode-cdn.z01.azurefd.net.']"
2025-10-29 07:58:19.707222,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'vscode-cdn.z01.azurefd.net.']"
2025-10-29 07:58:21.791729,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'vscode-cdn.z01.azurefd.net.']"
2025-10-29 07:58:24.114310,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'vscode-cdn.z01.azurefd.net.']"
2025-10-29 07:58:26.266874,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'vscode-cdn.z01.azurefd.net.']"
2025-10-29 07:58:30.826795,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'vscode-cdn.z01.azurefd.net.']"
2025-10-29 07:58:37.220809,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'vscode-cdn.z01.azurefd.net.']"
2025-10-29 07:58:39.781947,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'mmx-ds.cdn.whatsapp.net.']"
2025-10-29 07:58:43.143594,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'mmx-ds.cdn.whatsapp.net.']"
2025-10-29 07:58:52.897982,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'mmx-ds.cdn.whatsapp.net.']"
2025-10-29 07:58:58.771479,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'mmx-ds.cdn.whatsapp.net.']"
2025-10-29 07:59:03.885499,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'mmx-ds.cdn.whatsapp.net.']"
2025-10-29 07:59:06.936206,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'mmx-ds.cdn.whatsapp.net.']"
2025-10-29 07:59:13.913269,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'mmx-ds.cdn.whatsapp.net.']"
2025-10-29 07:59:16.724357,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'mmx-ds.cdn.whatsapp.net.']"
2025-10-29 07:59:18.726128,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'mmx-ds.cdn.whatsapp.net.']"
2025-10-29 07:59:24.916714,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'mmx-ds.cdn.whatsapp.net.']"
2025-10-29 07:59:27.013446,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'mmx-ds.cdn.whatsapp.net.']"
2025-10-29 07:59:29.939711,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'mmx-ds.cdn.whatsapp.net.']"
2025-10-29 07:59:36.879576,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'mmx-ds.cdn.whatsapp.net.']"
2025-10-29 07:59:42.307373,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'mmx-ds.cdn.whatsapp.net.']"
2025-10-29 07:59:48.552901,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'mmx-ds.cdn.whatsapp.net.']"
2025-10-29 08:00:02.934655,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'mmx-ds.cdn.whatsapp.net.']"
2025-10-29 08:00:17.437708,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'mmx-ds.cdn.whatsapp.net.']"
